Job Title,Skills,Tags
Full Stack Engineer and Web Developer Job at Booz Allen Hamilton in McLean,"agile, all, analytics, apis, at booz allen, azure, azure entra oauth, azure key vault, azure sql serverexperience, azure web app service, be empowered to succeedconnect, booz allen, careers, ci/cd, commitment, databricks, databricksknowledge, discrimination, dockernice if you have, due, experience, full, github, github actions, graphql5, individuals, jira, join, ljbffr, nestjs, node.js, non, our, our employee benefits, platforms, postgresqlability, posting date.work model, react, resource, salary, sql, sql server, support your wellbeinglearn, the opportunityas, typescript, u.s, usd, using, work, you, you have, your, your candidate journeydiscover","Full-Stack, Backend, Cloud, Gov/Defense"
Sr. Full Stack Developer I (5489),"agile, as sr. full stack developer, at metrostar, bamboo, because, ci/cd, commitment, ddl, discrimination
all, dml, experience, git, javascript, jenkins, jira, learn, like, microsoft, microsoft teams, ms sql server, mvc, net, net developer, non, not, o365 microsoft, plus, restful, secret, senior, sharepoint online, sign, sql, sql server, that, thinks, top secret, tsql, united states, value, web apis, what, you","Full-Stack, Backend, Gov/Defense"
ASP.Net Developer,".net, ansi, applying, asp.net, assist, core, core functions, developer, eoe, for, line express, maintain, ms sql server, net developer, originate, provide, solve, sql, sql server, there, those, troubleshoot, u.s, vb.net, web, xml. experience",Backend
Asp .Net Developer *DOE-Q Clearance Required*,".net, about teksystems, accident, allegis group, angular, application, asia. as, asp.net, asp.net

additional skills, asp.net

top skills details

java, benefits, benefits

the, clearance, conversion, critical illness, css, dba, description

developing, developing, eligibility, employee assistance program, europe, experience, experience level

expert level

pay, fortune, full, health spending account, herndon, highview, hospital, hsa, html, https, javascript, json, knowledge, leave, life insurance, mar, medical, microsoft platforms, north america, oracle, oracle databases, pre, provides, pto, python, qualifications

ysi, requirements, rest, retirement plan, roth, short, should, sick leave, skills

java, soap, sql, stack technology services, talent services, teksystems, that, time off, top secret, transportation, typescript, va.

application deadline

this, vacation, voluntary life, web, workplace type

this, xml","Full-Stack, Backend, Gov/Defense"
Senior .NET Developer,".net, agile, application, apply, atlanta, azure, azure

position overview, azure app configuration, azure app insights, azure app services, azure devops, azure expertise

location, azure functions, bdd, behavior, ci/cd, collaborate, comprehensive, conduct, cosmos db, cucumber, design, develop, driven development, duration, experience, expertise, familiarity, gcead, gherkin, h1b, h4ead, hands, hybrid, key responsibilities, leverage azure, maui, mobile, mvvm, need, need linkdlen

need, net, net developer, net maui, net maui.
implement, nunit.
proficiency, preferred qualifications, required skills, rest, rest apis, senior, specflow, tdd, test, visa, xamarin","Backend, Cloud"
VB.NET Developer,"accrued time off program, additional information

why veredus, additionally, anticipate, arlington, asp, atop, best staffing firms, candidates, care, commercial off the shelf, company description

location, conduct, construct, consultant lunches, consultant web, cots, dedicated consulting services representative

veredus, demonstrates, dental benefits, design, develop object, education, effectively, enterprise, experience, implementation, information technology, job description

responsibilities, life insurance, medical benefits, mentor, microsoft, microsoft sql server solid, minimum, must, name plates, net, net experience, net vb, object, object oriented technologies ability, oracle, oriented, outings, please, proven, requirements, sdlc, services, sharepoint, site, software development life cycle, software engineering, sql, staffing industry analysts, support, survival, testing, that, they, united states.

qualifications

experience guidelines, veredus, vision, wcf, web, windows communication foundation, windows presentation foundation, work, workflow foundation, wpf, write microsoft, your veredus recruiter",Backend
.NET Software Developer,".net, accept, angular, apis, asp.net, asp.net core, azure, azure cloud, azure data lake services, azure devops, benefits, bootstrap
preferred, candidates, core, css, data factory, degree, dental, department, document, employees, entity framework, est
work location, experience, familiarity, follow, framework, full, health, html, hybrid, implement, java, javascript, jazzhr

dq98pxqfkz, job, job type, json, laansu, life, maintain, microsoft sql server, mvc, object relational mapping, orm, our, paid, peer, permanent resident, powered, probationary period, professional, public trust position, receive, referral, regular, required, responsibilities, salary, schedule, software developer, sql, sql managed instance, sql server management studio, ssms, sterling, synapse, take, technical lead. analyze, test team, test team. assist, the software developer, transportation, typescript, unit, united states.

at laansu, us citizen, vision, windows presentation foundation, work, wpf, xml, xslt.
build your career","Full-Stack, Backend, Cloud, Gov/Defense"
Senior Acoustics Software Developer Jobs,"acquisition systems. you, active top secret, advanced, agile, bethesda, clearance requirements, collaborate, defense, design, develop, digital signal processing, dod, dsp, engage, engineering, ensure, experience, familiarity, git, high, identify, knowledge, labview, maintain, mantech, master, mathematics, matlab, md. this, minimum qualifications, must, occasional, perform, performance computing, physical requirements, preferred qualifications, proven, python, reduction, responsibilities, sdlc, senior acoustics software developer, signature characterization, solid, stay, subversion, u.s. citizen, u.s. department, u.s. military, u.s. navy, united states, us navy, utilize","Backend, Gov/Defense"
Senior Software Engineer-Job Scheduling and Orchestration (Flexible Hybrid),"all, angular, apache airflow, api, autosys, autosys cots, aws, aws

additional information

the, aws batch, aws certified developer, aws certified solutions architect, aws code pipeline, aws event bridge, aws eventbridge, aws lambda, aws native, aws native services, aws step function, build, career site. final, ci/cd, collaborate, company description

at fannie mae, conduct, create, deep, desired experiences, develop, developer, discover, document, equal opportunity employer, every, experience, familiarity, fannie mae, for, gitlab, hands, health, here, iam, java, javascript, jenkins, job description

as, knowledge, lambda, life, managed workflow, node.js, optimize, plan, proficiency, python, qualifications

the experience you bring to the team

minimum required experiences, react, react.js, see, senior associate, software engineering, support, terraform, the impact you will make

the cloud infrastructure, uis, voluntary lifestyle, vue.js, workflow automation, you","Full-Stack, Backend, Cloud"
Software Developer (6+ Months Contract),"additional information

all, build, company description

eliassen group, create, developer, document, eeo, eliassen group, job responsibilities, lead, market regulation technology, our talent

job description

summary, qualifications, review, serve, software developer, sql, your success",Backend
Web User Interface Developer,"ada, adobe cc library, adobe experience manager, adobe illustrator, adobe xd, aem, art director.

supervision exercised, asana, cloud, collaborate, community engagement division

department, conduct, content, content management system, create, creative, css, daily, date revised, design, designer, digital design, digital designer

location, education and experience, essential duties and responsibilities, exempt

division, experience, familiarity, figma, flsa, friday, general description, generally, graphic design, headquarters

date prepared, hours, html, hybrid, identify, indesign, javascript, key responsibilities, knowledge, less, leverage, licensing and certification, maintain, march, monday, must, ncmec, ncmec.org, netsmartz, netsmartzkids.org, none

responsibility for public contact, other, participate, perform, photoshop, plan, preferred qualifications, proficiency, proven, provide, qualifications, reports to, required skills, safetocompete.org, schedule, stay, support, title, ui designer, web, web

travel requirement, web design, web ui, work, you",Full-Stack
Senior .NET Engineer,".net, abilities, actively, agile, analytical, angularjs, asp.net, associate, aws, because, bootstrap, builds, degree, designs, develops, education, ensures, experience, familiar, federal agency, full life cycle, git, good, iis, javascript, jquery, json, monitors, mvc, net developer, net framework, oracle database, orm, proficient, qualifications, researches, responsibilities, security clearance, skills, soa, solid, sql, talex, test driven development, tfs, wcf, web service, works, writes, xml","Full-Stack, Backend, Cloud, Gov/Defense"
Sr. Net Developer,".net, agile methodology, apigee, apis, at tekaroon, aws, code, create, crims, deliver quality software, deploying, design, designing, develop, develop unit, development methodology, engineering software solutions, entity frame, git, implements, linq, net, perl, publish date, referral policy

are, required skills, responsibilities, sql, sql server, ssis, sybase
please, tekaroon, terraform, tfs desired skills, vb.net, work, works, you","Backend, Cloud"
.NET Developer - Active Secret Required,"about, additionally, agile, alta it, annapolis, apis. in, azure, azure devops, benefits, ci/cd, collaborate, coordinate, defense customers. this, degree, dod, dod secret, ensure, entity framework, experience, extensible markup language, extensible stylesheet language transformations, firewalls, lead, manage, md. the, minimum, must, net, net developer, networking, nice, participate, participation, pki, proficiency, public key encryption, requirements, responsibilities, secret clearance, senior, sql, sql server, stay, staying, workflow, xml, xslt, you","Backend, Cloud, Gov/Defense"
. Net Developer,"active, aws, certification, expertise, minimum, must have aws experience, net core, net framework kasmo global","Backend, Cloud"
Ful Stack .Net Developer,".net, about us

cyquent, america, analyzing, android, angular, asp.net, asp.net mvc, azure, benefits, cmmi, collaborating, conducting, creating, css3, cyquent, debugging, deploying, duties, education
bachelor, engineering, eoe, equal opportunity employer, experience, follow, for, full stack, html5, inc, include, iso certified technology enabler, it solutions, maintaining, masters, minimum, mvc, net, net core, net developer, participating, power platform, qualified, react, react.js, required experience, responsibilities, services, skills, staying, the full stack, typescript, washington dc, work, writing","Full-Stack, Backend, Cloud"
MS Dynamics F&O Developer,"agile, annual, apis, applicants, azure, azure devops, business central, certification, crm, d365, dental, desired skills, doe

you, erp, experience, familiarity, finance, great, knowledge, lcs, lifecycle services, medical, microsoft dynamics, microsoft dynamics ce, ms dynamics, northern virginia.

the senior developer, odata, operations, power bi, power platform, prior, rbac, required skills, rest, senior developer, soap, sql, sql server, ssrs, stock options, the offer, vacation time, vision insurance, you","Backend, Cloud"
".Net Developer - Owings Mills, MD","about, advanced sql, aws, aws cli
unity
git
vault
ec, company, doe
work authorization, ead, experience, georgia it inc, git, h4ead

job description

top skills, job title, l2ead, lambda
step functions
python
java, lead, md
duration, net, net

additional skills
mutual fund, net developer
location, owings mills, plus months contract
rate, skills needed
excellent, sql, usc, web ui","Backend, Cloud"
Web Developer Contractor (Drupal Specialist),"acquia certified drupal developer, agile, clearance, cms, collaborate, contractperiod, css3, d.c, design, develop, dot, dot drupal cms, drupal, drupal cms, drupal specialist, ensure section, experience, familiarity, full, google analytics, html5, implement, integrator contractor lead, javascript, jira, job posting, knowledge, lead, participate, payrate, performance, php, position overview, position title, proficiency, provide, public trust, qualifications, remote, responsibilities, section, seo, servicenow, tag manager, task orders, time, transportation, type, u.s. citizenship, u.s. department, uat, wa3, washington, wcag, web agility program support services, web developer contractor, web development, year bpa","Full-Stack, Gov/Defense"
Full Stack Developer Jobs,"angular, api, applicants, booz allen, careers, cissp certification

clearance, commitment, compensation

at booz allen, compliant security, discrimination

all, django, dod, experience, fastapi, flask, full, github, individuals, javascript, jenkins, job number, join, master, nice if you have, non, our, our employee benefits, posting date.

identity statement

as, r0215451

full stack developer

the opportunity, react, resource, rest, salary, sci, sql, typescript, usd, work, work model

our, you, you have","Full-Stack, Backend, Gov/Defense"
"Front End Web Developer Job at N4 Solutions, LLC in Bethesda","acquia cloud, analytics, come, css, css3, design, eeo, end web developer, experienced, front, github, google suite, holds, html, html5, interface, javascript, jira, jira.certifications, join, ljbffr, llc, looker studio, maintains, microsoft office suite, minimum qualificationsbachelor, n4 solutions, national institute, ninr, nursing research, our, planner, policy, produces, provide, responsibilitiesprovides, roles, search console, support, tag manager, teams, the n4 solutions equal employment opportunity, trains, u.s. citizenship","Full-Stack, Gov/Defense"
"Lead .NET Developer, Applications Developer","agriculture, alpha omega, alpha omega integration, america, angular, annual tuition, apis, application deadline, april, atdd, atmospheric administration, aws, azure, benefit information, build, cfr, coast guard, collaborate, core values, culture, dbms, dental insurance, department, description

job title, design, develop, development, dfsa, dhs, disabilities

the, documentation, eagerness, education, eleven, enhance, enhancement, ensure, equal opportunity employer, equal opportunity employer. all, experience, expertise, fast, federal, federal it solutions, foreign affairs, fort collins, from, fsa, full stack development, furthermore, h.e.a.r.t, hdhp, health, homeland security, however, hsa, inc, individuals, java, javascript, joining, kansas city, lead, life insurance, llc, ltd, moreover, national oceanic, national security, net developer
clearance required, net stack developer, net. familiarity, noaa, npm, optimization, our, our company, our h.e.a.r.t, preferred qualifications, prepare, prior, professional development reimbursement, proficiency, protected veterans, provide, pto, public trust
work location, react, remote

key responsibilities, required qualifications, salary, see, since, skills, software development, spotlighted, springboot, state, stay, std, system design, technical leadership, there, through, total rewards, translate, u.s, u.s.

at, u.s. department, united states department, united states.

climate, usa today, usda, values, virginia business best places, washington post top workplaces.

alpha omega, washingtontechnology, work","Full-Stack, Backend, Cloud, Gov/Defense"
Software Engineer (Full Stack Developer) Jobs,"about ardent principles, apex, apply, ardent principles, are, aws, aws devops, b.s. computer science, chantilly, ci/cd, company, computer engineering, computer information systems, computer systems engineering or, covered family vision, covered life, dedicated training budget, dental, disability insurance, driven, employer, employer match, ensuring, excellence, exceptional performance, familiar, full, full stack development, generous paid time off, github, health insurance, helping, highly competitive salary, implementing, inc

at ardent principles, intelligence community

certification, javascript, jira, join, key responsibilities

in, modern, observing, offering, our, paid government holidays, passionate integrity, plan, proficiency, providing, ready, recognizing, rest, rewarding, salesforce certified platform developer, salesforce certified platform developer

required education, schedule, software engineer, spot bonuses, supporting, understanding, understands, va.

if, visualforce, what we offer you, who we are, with, working, you, your","Cloud, Gov/Defense"
ServiceNow ITOM Developer,"academics, active directory, addm, advise, although, api, application, architect

location, at hexaware, business rules, certification, certified implementation specialist, cis, cloud mgmt, cmdb, critical care coverage, design, discovery, discovery schedules, domain separation, event, event mgmt, excellent health, experience, experienced, familiar, good, hands, hexavarsity.

role, hexaware, html, identity, integrate servicenow itom, it industry, itil foundations, itom, itsm, javascript, jelly, knowledge, ldap, lead, legal, mclean va, mid server, monitor, oem, oob, orchestration, paas, performance analytics, perl, plano tx

must have experience, powershell, process, professional, review, saas, service mapping, servicenow, servicenow best practices, servicenow cmdb, servicenow discovery, servicenow service portal, servicenow system, slas, snmp, snow itom developer, solutioning, sso, taddm, technology portfolio management, the hexaware advantage, udemy, ui macros, ui pages, understanding, unlimited, well, what working, wide, with, xpath, your workplace benefits","Full-Stack, Backend"
C .net Developer,"advanced, agile, agile development scrum kanban tfs, c# winforms wcf, desired skills, detail oriented effective, developer multiple locations princeton nj reston va timonium md

responsibilites he, devops git

the, experience, expert, git, mandatory skills, ms sql, must, net framework, net framework gui services sql programming client, net programming, rest, sdlc, server, she, sql","Backend, Cloud"
Blockchain Developer,"applying, artificial intelligence, azure, blockchain, blockchain developer, c++11.

reasoning ability

ability, collaborating, competencies, confluence, creating, data, databricks, dc metro, distributed ledger technology, dlt, documenting, educating, education, entry, essential duties, experience, experience

pursuing bachelor, familiarity, github, hybrid

spark technology consulting, identifies, inc, inspired, javascript, keeping, level, leveraging, location, machine learning, maintaining, microsoft azure, optimizing, other, p2p, performs, postman, primary, proficiency, python

c++

java

javascript

experience, qualifications, recommends, responsibilities, robotic process automation, stl, successful, tests, use, work environment

hybrid

location

dc metro",Cloud
Forward Deployed Engineer,"aip, at northslope, company description

northslope, day, demonstrated, denver, denver.

our principles, enterprise operating, enthusiasm, every, expand, experience, forward deployed engineer, forward deployed engineering, foundry, llm, london, new york, northslope, not, not activity, only valuable problems, outcomes, palantir foundry, possible, preferred but not required to be successful, proficiency, python, react, role description

as, spark, traditional, typescript, typescript. we, washington, what we look for, willingness, you","Full-Stack, Gov/Defense"
".Net Developer (Microservices, Interfaces)","about ncr voyix

ncr voyix corporation, all, amazon mq, angular, atlanta, aws, azure, azure devops, basic qualifications, ci/cd, collaborate, create, css, dental insurance, design, develop apis, devops, docker, eeo statement

integrated, ensure, every, experience, familiarity, for, full, full stack software developer, georgia, github actions, google cloud, government, hands, html, icam.

salary range, implement, javascript, jenkins, key responsibility, kubernetes, life insurance, llc, long term disability, medical insurance, microservices, ms sql database, ms sql server, ncr government systems, ncr voyix, net, net core, not, nyse, offers, okta, our, paid vacation, please, polymer, position summary, preferred qualifications, proficiency, proven, rabbitmq, react, restful apis, saas, short, software engineering, sql, statement, stay, third party agencies
to all, today, troubleshoot, us citizen, vision insurance, vyx, when, write, you","Full-Stack, Backend, Cloud, Gov/Defense"
Software Engineer (LLM/RAG Experience),"ai

health, ai.

opportunity, aws, bit about us

we, click, dental, easy apply, equal opportunity employer. we, federal agency, gov, hiring, interested, job, jobot, katrina mcfillin

are, linkedin, llms, los angeles fair chance initiative, opportunity, rag, remote

greenfield, salary, san francisco fair chance ordinance.

want, sometimes jobot, this jobot job, vision insurance

job details

we, want, why","Cloud, Gov/Defense"
Power Platform Developer (remote) Jobs,"accessible sharepoint, adaptable, agile, alaska native owned, atlassian, best candidates, candidate, certifications, civilian, conducts, create, css, customer, defense, design, develop, developer, disabled. shareholder preference, documents, duties, enterprise solutions, equal opportunity employer, essential functions, executes, experience, federal government agencies. as, federal government position, for, future new business opportunity.

we, heaven wood, html, information architecture, integration, javascript, kds, kds

job id, kgs, kgsrecruiting, koniag, koniag data solutions, koniag government services, m365, may, migrate sharepoint, must, nintex, operational management, our equal employment opportunity policy
the, passion, power apps, power apps canvas apps, power automate, power automate flow, power bi, power pages, power platform, power platform developer, powerapps, powershell, preferred qualifications, prepare, professional services, proficient, provide, public law, public trust. this, qualifications, remote, responsibilities, responsible, sdlc, section, serves, sharegate, sharepoint, sharepoint architect, sharepoint online, sharepoint online modern, skills, software development life cycle, tableau, trust, u.s, us citizen. this, user interface design, veterans, work, works","Full-Stack, Gov/Defense"
Full Stack Developer,"angular, angular node java php javascript mongodb mysql, any bachelor, apply, cassandra. professional attributes good, computer science engineering, core, degree graduates, degree. applicants, designing, face, full stack developers, good, headquarters, javascript, job requirements key responsibilities developing, maryland. if, master, must, open, opt cpt gc, software engineers, staying, technical, technical experience must, techouts, usa, usa.

initial, who","Full-Stack, Backend"
".Net Software Engineer- C#, ASP.NET, LINQ, AWS, Autofac",".net, api, asp.net, aurora postgres, autofac, aws, aws

aws experience, ci/cd, combining talent, comfortable, concepts
must, dms, driven architecture concepts, ec2, ecs, entity framework, event, experience, expert, exposure, familiar, git, groovy

for, iam, intermediate sql, jenkins, jira, linq, masstransit, microsoft, ms word, net, net core, neventstore, oop, oracle, postgres, rds, scala, security, should, sns, software engineer
core programming skill, solid, splunk

dev ops
jenkins, sql, sqs, technology, the consortium, vpc config, web api, web forms, web services, workflows, wsdl","Backend, Cloud"
Software Developer Jobs,"ansible

powershell

java, aws, azure, azure

demonstrate, certifications

java, core, day shift, deliver, demonstrate, dev ops, experience, github, interface, java, jenkins, jenkins.

demonstrate, jira, microsoft certified engineer

microsoft certified architect

or, preferred education, required education, required skills, responsibilities, sharp, skills, software developers, the software developer","Backend, Cloud"
"Application Developer, Senior","applicants, bitbucket, booz allen, careers, commitment, compensation

at booz allen, discrimination

all, experience, full, git, individuals, java, jenkins, jms, job number, join, linux, maven

clearance, nice if you have, non, our, our employee benefits, posting date.

identity statement

as, python, r0217500

application developer, resource, ruby, salary, sci, senior

the opportunity, spring boot, subversion, usd, work model

our, you, you have","Full-Stack, Gov/Defense"
C# ASP.NET Developer,".net, asp.net, c#

experience, c# asp.net developer, california, candidate, companies. with, company description

infojini consulting, controller, cth

merrifield va united states, design, desired qualifications

experience, development, eeo, experience, four, government, india.

infojini consulting, infojini consulting, javascript, javascript.

experience, job description

job, linthicum heights, maryland, microsoft asp.net, microsoft installation services

qualifications

bachelors degree

additional information

all, microsoft reporting services

experience, microsoft sql

experience, model, mumbai, must, mvc, north carolina, pennsylvania, proficient, responsibilities, roles, south carolina, sql, state, strong analysis, subversion

experience, view, virginia, visual studio, washington, will, windows, windows os

minimum requirements, xml

experience html","Full-Stack, Backend, Gov/Defense"
Machine Controls Programmer,"abilities, about cam innovation

cam innovation, about us

cam innovation, also, apply, apply now, are, assist, benefits, cam, cam innovation, cam team, contribute, csa, degree, demonstrated, dental insurance, design, education, experience, familiarity, finalize bill, five, hanover, health insurance, hmi, join, ladder logic, life insurance, materials, mitsubishi, nec, note, our, our success story, pa. for, paid, perform controller programming, plc, plc programmer, provide, random, required skills, responsibilities

primary, secondary, seek, select, solidworks, structured text, support, then, training, use solidworks, very, vision insurance, willingness, you",General
Back End Developer,"access, agile, air force, air force enterprise, air force. you, angular, annual social events, api, apigee, aws, azure, benefits, citizenship, clearance requirement, company sponsored life insurance, cui, dayton oh, degree, dod, dod top secret, education requirement, eeo, equal employment opportunity, experience, familiarity, federal, flexible pto, flexible spending account, fsa, full, gcp, getshitdone, getshitdone. we, git, home office, iii

why, internal thrive level, java, javascript, kubernetes, location, long term disability, mar, microservices, microsoft azure, nationals, nice to have skills, oklahoma city ok, paid, perks, proven, react, referral bonus, reimbursement, required skills, restful api, short, software engineer, software engineer ii, spring boot, stigs, though, time onsite, typescript, united states, us citizen, washington capitals, washington dc","Full-Stack, Backend, Cloud, Gov/Defense"
Mid-Level Software Engineer (.NET),".net, accept, all, angular, apis, applicants, asp.net, asp.net core, azure, azure cloud, azure data lake services, azure devops, bootstrap, candidates, css, data factory, degree, department, document, experience, familiarity, federal government, federal government. strongbridge, follow, framework, headquartered, html, implement, java, javascript, json, maintain, microsoft sql server, mvc, our, peer, permanent resident, public trust position, receive, required skills, salary, sql, sql managed instance, sql server management studio, ssms, sterling, strongbridge, strongbridge llc, synapse, take, technical lead. analyze, test team, test team. assist, the software developer, transportation, typescript, typescript.

desired skills, unit, us citizen, what sets strongbridge apart

strongbridge, windows presentation foundation, work, wpf, xml, xslt.

pay range","Full-Stack, Backend, Cloud, Gov/Defense"
Fullstack Developer,"about silveredge

silveredge government solutions, agile, analyze, api, apis, certifications, cissp, collaborate, compliant security, continuously, defense, department, design, desired qualifications, develop, dod, equal opportunity employer, experience, expertise, express, familiarity, fullstack developer, git, gitlab, hands, intelligence community, javascript, jest, jira, knowledge, llc, microservices, next.js, node.js, oauth, object, openid connect, orm, our, overview

silveredge, participate, primary duties, proficiency, proven, react, relational mapping, required qualifications, rest, role overview

the fullstack developer, sci, sequelize, silveredge government solutions, sonarqube, sql, typescript, united states, work, write","Full-Stack, Backend, Gov/Defense"
Web Application Developers (Dev Ops) Level 2 - ServiceNow developers developing capabilities Service,"agile, analyze, apis, aws, azure, bamboo, ci/cd, cloud, commute, confluence, contract

pay, demonstrated, docker, duties, education

bachelor, evaluate, finance, friday

ability, fte, full, git, git.

job types, human resources, implement, implement ci, interface, jira, knowledge, kubern, linux, management information systems, marketing, minimum requirements

proficiency, monday, ms power suite.

this, net core. nunit, octopus, operations, oracle, participate, perform, powershell, preferred, proficiency, proven, recommend, relocate, required, responsibilities

analyze, schedule, sdlc, servicenow, sgp, sql, the washington metropolitan area transit authority, washington, windows, wmata, wmata digital modernization full time employees, work, work location","Backend, Cloud"
Network & Cloud Developer Jobs,"affirmative action, all, ansible, arista, associates, aviation, b.s, benefits, careers, cisco, click, cloud developer

gromelski, cloud developer additional requirements, cloud developer highly desirable skills, cloud developer job description, cloud developer required tasks, computer engineering, computer sciences, containerization.

network, ddg, delivery, deployment guide, developer, disability, docker, documentation, dod secret, dod secret clearance, electrical engineering, engineering design, equal opportunity, equal opportunity employer, evaluation, experience, familiarity, female, field installation, full, gai, general, general kubernetes, gig, gromelski, inc, integrate, integrated logistics support, iov, job, key, knowledge, kubernetes, lab management, linux, linux bridging, manassas, minority, multimedia support, must, navy submarine, negotiable

job location, negotiable

start date, network, network engineering, ovs, rate, relocation assistance available, sarah gromelski, sdn, service level agreement, sla, software defined networking, software development, software engineering, strong linux, success, surface ship, surveillance, system integration, task, team, technical system support.

network, testing, time employee, training development, troubleshooting, u.s. citizen, understanding, united states navy. performs, unix, veteran. all, virtualization, vxlan, willingness","Cloud, Gov/Defense"
Senior .NET Developer with C#,"abilities, actively, additional information

all, agile, ajax, also, analysis, application, capability, collaboration, company description

satsyil, css, data, data integration, db2, eeo, etl, excel, experience, expert, expert microsoft net, expert ms word, extract, facilitate, group, html, intermediate, intermediate project, interpersonal, javascript, job description

we, jquery, json, knowledge, load, maintain, microsoft, microsoft iis, multi, net, net developer, net developer

location, object oriented programming, oracle, outlook, powerpoint, prioritize, proficient, qualifications, remoting services, reston, scrum, sdlc, senior, skills, sql, sql server, sql server integration services, ssis, talented, threading, transform, va

knowledge, va.

senior, verbal, web services, windows server, windows services. additional, workflow solutions, xml","Full-Stack, Backend"
Salesforce Developer Jobs,"actively, airforce. we, assist, big, cmmc level, collaborate, coretech, days, entry level salesforce developer. if, every, favorable poly

we, gain, navy, note, poly required, pto, responsibilities, salesforce, stay, troubleshoot, usg, work, you",General
Application Engineer/Programmer,"advising, aws, azure, blas, business, caps, conducting, connecting, db2, description, developing, duration, educational, etl, evaluating, experience, experience required

expertise, expertise, gathering, implementing, integrating, july deadline

rate

up, kpi, la

location

baton rouge, microsoft sql server, ots, power bi, power bi administrator, prodirect, providing, resumes due

asap, role

the office, skills, sql, state, state it, technology services, tips, title

powerbi application programmer

client

state","Backend, Cloud"
ERP Dynamics 365 Developer,".net, asp.net, assist, automated, azure, c2c, cedent, ci/cd, collaborate, css, customer insights, customer service, develop, developer, document, drive, dynamics, end, ensure, experience, field, flows, html, integration, javascript, lead, looking, manage, microsoft dynamics, ms dynamics, ms power apps, net, performance, portals, provide, required skills, responsibilities, sdk, tasks, technically, troubleshoot, unit, utilize azure devops ci, visual studio, washington dc, xml","Full-Stack, Backend, Cloud"
Jr. Software Developer Jobs,"analyze, assist, coding, debug, degree, design, develop, experience, four, integrate, java, modify, provide, qualifications

education, required skills, responsibilities, serve, software engineer, swe, write, years",General
Junior .NET Developer - OPT Accepted,".net, asp, asp.net, asp.net mvc, c#

strong, job description

junior, junior, microsoft, mvc, net, net architecture, net developer, one, qualifications, sql, sql server

additional information

multiple openings",Backend
Dot Net Developers,".net, ajax, asp.net, business data catalogs, css, email, entry level, excel services, herndon, html, indus group inc, java, job description, may, multiple positions, net, net developers, perform feasibility, please, senior level, share, sharepoint workflows, sql, sterling road, suite, visual studio, xml","Full-Stack, Backend"
Software Engineer - Automation,"about us

one, active secret clearance, additional, agile, all, apis, at viasat, base, benefits.

eeo statement

viasat, carlsbad, ci/cd, computer, computer engineering, courses, cybersecurity, do

this, eclipse, electrical engineering, embedded, ethernet, experience, familiarity, for, global, infinite, java, knowledge, lan, learn, lifeatviasat, linthicum heights, linux, marlborough, md

what will help you on the job, must, need, new york city, our, perforce, previous, python, salary, san francisco bay, san jose, system, tampa, tcp, team members, teammates, the secure network systems, united states secret clearance, viasat, visual studio, wan, what you, you","Backend, Gov/Defense"
SharePoint Developer - DC,"all, applicants, atlanta, bep, bep.
the, clearance level required, collaborate, disabled, federal, federal background, friday, georgia. we, government, hours of operation
the, inc, jamison, jamison corporate overview, jamison professional services, job duties, knowledge, mbe, minimum education, minimum experience, minority business enterprise, monday, must, organizes, our, owned small business, primary place of performance, required and desired knowledge, responsibilities, sdvosb, service, sharepoint, sharepoint developer

description of services, sharepoint developer.

job title, sharepoint support. the, skills and abilities, state, u.s. government, veteran, washington",Gov/Defense
.NET Programmer Analyst,".net, api, asp, asp.net, asp.net mvc, c#.net development, candidate, clifton forge, core, css, design, desired skills, enforce, java script, job description, job title, jquery, june, local, months
interview type, mostly, mostly remote
note, must, mvc, net developer, net development, net programmer analyst
location, not clifton, participate, primary, required, sql, sql server, understanding, va
duration, vb.net, vb.net development, web api, web cam interview only
work arrangement, work, write","Full-Stack, Backend"
"VDOT .NET Programmer Analyst 4 Clifton Forge, VA",".net, api, asp.net, asp.net mvc, but, cmmi level, core, css, design, enforce, equal opportunity employer. all, herndon, inc, iso, java script, jquery, life, local, must, mvc, net developer, net programmer analyst, participate, please, primary, remote, sql, telework, the senior, understanding, usa. ysi, vb.net, virginia, web api, work, write, yakshna solutions, ysi","Full-Stack, Backend, Gov/Defense"
Senior Software Engineer [ENMD22088],"acat, ace, ace consulting group, ace group, analyze, armed services, battlespace. our, description

ace group, desired, disabled veteran owned small business, dod top secret, eeo, effectively, excel, experience, government, interface, mbse, microsoft, model based systems engineering, nas patuxent river, nation, navair, oem, our, powerpoint

ace consulting group, proficiency, program management, requirements

required, service, setr, software, software engineer, software engineering, ten, the software engineer, u.s, us navy.

responsibilities, word","Cloud, Gov/Defense"
".Net Developer( Oracle, Informatica, and Crystal Reports Experience)",".net, asp.net, crystal reports, crystal reports experience, domain, experience, experienced, familiarity, finance

duration, finance domain, informatica, job description

position, loan applications, location, mandatory skills, must, net, net developer, oracle, oracle

job role, reston, should, usc only

description, virginia, visa, winforms",Backend
"Software Engineer, Infrastructure","affirmative action, analyze, apps, code, compensation, computer engineering, conduct, design, equal employment opportunity, establish, experience, exposure, groups, hack, individual, infrastructure responsibilities, instagram, interface, java, java

about meta, javascript, join, learn, messenger, meta, minimum qualifications, news feed, now, people, php, please, preferred qualifications, python, search, software engineer, software engineers, successfully, track, verify, video, want, whatsapp, when facebook, you","Full-Stack, Backend, Gov/Defense"
